match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
492473,9987,9993,1,1
492474,10000,9994,0,0
492475,9984,8635,0,3
492476,9991,9998,5,0
492477,7947,9985,1,3
492478,8203,8342,1,1
492479,9999,8571,2,2
492480,4049,9996,1,2
492481,10001,9986,1,0
492564,8342,8571,4,1
492565,9985,9986,1,2
492566,10000,9991,0,2
492567,9994,9998,0,0
492568,7947,10001,2,2
492569,8203,9999,1,2
492570,9996,9984,0,1
492571,4049,9987,1,3
492572,9993,8635,1,3
492573,8635,9994,2,3
492574,9998,9996,0,0
492575,9986,8342,2,2
492576,9984,10000,2,0
492577,9991,7947,1,1
492578,9999,4049,1,2
492579,8571,8203,0,0
492580,10001,9987,1,0
492581,9993,9985,1,3
492582,8342,8635,1,1
492583,9987,9999,1,1
492584,10000,9993,2,2
492585,9994,9985,1,1
492586,7947,8571,1,0
492587,8203,9998,0,0
492588,9996,9986,2,1
492589,4049,9984,3,0
492590,10001,9991,3,2
492591,8635,10001,2,0
492592,9985,9996,3,1
492622,9998,8342,1,2
492623,9986,4049,3,2
492624,9984,8203,2,1
492628,9991,9987,2,3
492631,9999,7947,2,2
492636,8571,10000,1,0
492638,9993,9994,0,2
492649,8342,9993,3,0
492651,9987,9984,3,2
492658,10000,9986,4,2
492662,9991,9999,4,0
492664,7947,8635,0,2
492666,8203,9985,0,0
492670,9996,9994,2,0
492674,4049,8571,3,3
492677,10001,9998,2,1
492683,8635,4049,5,1
492686,9985,10000,1,2
492689,9998,7947,5,2
492692,9986,8203,1,2
492693,9984,9991,3,1
492696,9994,8342,2,0
492699,9999,10001,1,0
492702,8571,9987,3,1
492706,9993,9996,3,0
492709,8342,9985,1,4
492713,9987,9986,1,0
492717,10000,9996,2,1
492720,9991,8571,1,1
492722,7947,9994,1,1
492724,8203,9993,2,1
492728,9999,8635,0,3
492734,4049,9998,2,1
492735,10001,9984,1,2
492742,8635,9987,2,0
492745,9985,9991,2,1
492746,9998,10000,2,2
492749,9986,7947,2,0
492753,9984,9999,4,3
492757,9994,8203,2,2
492758,9996,8342,5,1
492760,8571,10001,0,0
492763,9993,4049,2,0
492769,9993,9987,4,1
492772,9994,10000,2,1
492775,8635,9984,1,2
492779,9998,9991,1,2
492781,9985,7947,3,2
492782,8342,8203,3,0
492785,8571,9999,2,1
492789,9996,4049,1,1
492792,9986,10001,1,2
492798,10000,8342,3,1
492801,9991,8635,1,2
492804,10001,9985,0,1
492805,9987,9998,2,0
492807,9999,9986,3,1
492810,4049,9994,2,1
492814,8203,9996,2,2
492817,9984,8571,0,1
492819,7947,9993,0,1
492482,8342,10000,2,0
492483,8635,9991,2,2
492484,9985,10001,3,0
492485,9998,9987,3,1
492486,9986,9999,1,0
492487,9994,4049,4,1
492488,9996,8203,3,1
492489,8571,9984,2,1
492490,9993,7947,1,1
492822,8571,8635,1,3
492844,9994,9987,1,2
492845,9998,9984,1,1
492847,9986,9991,2,5
492849,9996,7947,0,2
492851,10000,8203,1,1
492853,9985,9999,3,0
492856,8342,4049,3,1
492858,9993,10001,2,1
492989,7947,8342,0,2
492990,8571,9985,0,2
492991,8635,9998,3,2
492992,9987,10000,1,2
492993,9984,9986,2,2
492994,10001,9994,1,0
492995,4049,8203,1,5
492996,9991,9996,2,0
492997,9999,9993,2,2
492998,9986,8635,0,1
492999,8342,9987,0,2
493000,9993,9984,1,1
493001,8203,9991,3,3
493002,10000,7947,1,0
493003,9994,9999,2,1
493004,9998,8571,1,1
493005,9985,4049,4,0
493006,9996,10001,0,0
493007,10001,8342,1,1
493008,8635,9985,4,2
493009,9999,9998,3,2
493010,4049,10000,0,6
493011,8571,9986,1,1
493012,9984,9994,0,0
493013,7947,8203,1,2
493014,9987,9996,1,1
493015,9991,9993,1,3
493016,9996,8635,1,1
493017,8203,9987,2,1
493018,9986,9998,3,0
493019,9985,9984,4,0
493020,9994,9991,0,1
493021,8342,9999,2,1
493022,9993,8571,3,0
493023,7947,4049,4,0
493024,10000,10001,1,1
493025,9984,8342,1,3
493026,9998,9985,0,1
493027,8635,10000,2,0
493028,8571,9994,2,3
493029,9987,7947,4,3
493030,10001,8203,0,1
493031,9999,9996,2,0
493032,9991,4049,2,0
493033,9986,9993,0,0
493034,8203,8635,2,1
493035,9985,9987,2,0
493036,9993,9998,2,0
493037,9994,9986,0,0
493038,7947,9984,1,0
493039,8342,9991,1,4
493040,10000,9999,0,0
493041,9996,8571,1,0
493042,4049,10001,1,2
493043,8571,8342,2,3
493044,9986,9985,1,0
493045,9991,10000,1,0
493046,9998,9994,0,2
